ID,City,Assault,Robbery,Homicide,Burglary,Auto Theft,Larceny,Population
64,SAN FERNANDO,109.7,140.6,0,108.8,224.5,55.5,24823
65,SAN GABRIEL,50.8,107.1,58.8,68.4,98.1,53.9,40714
66,SAN MARINO,41.8,32.3,0,128.7,41.3,51.3,13491
67,SANTA CLARITA,41.4,64,79.3,66.6,65.6,48.9,211132
68,SANTA MONICA,115.2,200,25.5,150.8,109.4,165,93796
69,SANTA FE SPRINGS,99.9,256.3,133.9,193.2,561.5,257.2,17867
70,SIERRA MADRE,29.3,29.1,0,91.7,41.4,27.5,11226
71,SIGNAL HILL,80.6,290,205.3,187.6,358.6,266.2,11655
72,SOUTH EL MONTE,195.3,142.4,694.4,166.9,366.1,82.4,20679
73,SOUTH GATE,163.1,224.2,49.5,127.1,504.4,89.5,96775
74,SOUTH PASADENA,8.9,91.3,0,115,54.8,106.9,26287
75,TEMPLE CITY,39.9,71.7,65.5,90.4,50.9,40.2,36524
76,TORRANCE,29.3,62.1,32.1,77.6,98.6,71.1,149243
77,WALNUT,18.5,60.8,78.5,100.6,33.5,27,30469
78,WEST COVINA,64.2,99,43.9,78.6,207.5,100.7,109030
79,WEST HOLLYWOOD,218.9,270.7,132,123.6,114,159.3,36256
80,WESTLAKE VILLAGE,11,25.6,0,118.2,32.7,87.3,8522
81,WHITTIER,69,111.8,27.3,77.9,219.5,107.2,87807
82,ALISO VIEJO,22.2,6.4,0,22.4,31.1,28.5,50751
83,ANAHEIM,92.1,137,123.3,90.5,221.8,103.4,349471
84,BREA,52.5,80.4,0,78,76.2,129,42043
85,BUENA PARK,84.2,87.3,28.6,85,214.2,114.7,83684
86,COSTA MESA,86.9,117.2,21.1,131.9,191.1,164.3,113477
87,CYPRESS,28.4,50.6,0,63.1,90.9,68.3,49560
88,DANA POINT,49.3,38.1,0,75,70.4,63.7,34312
89,FOUNTAIN VALLEY,31.9,45.6,41.7,100.1,104.4,102.3,57392
90,FULLERTON,71.1,85.2,0,71.3,154.1,110.1,140771
91,GARDEN GROVE,81.1,96,54.4,107.8,171.2,86.3,176041
92,HUNTINGTON BEACH,58,62.8,0,76.3,85.2,99.2,203233
93,IRVINE,10.6,24.1,18.5,43.4,36.2,63.8,258198
94,LA HABRA,45.1,64.6,0,64.8,120.4,77.8,62488
95,LA PALMA,17.6,47.7,0,151.4,61,55.7,16001
96,LAGUNA BEACH,112,55.7,0,71.2,118.7,93.7,23485
97,LAGUNA HILLS,33.2,45.5,0,55.1,68.6,66.6,31139
98,LAGUNA NIGUEL,20.6,19.8,72.5,36.7,34.5,42,66035
99,LAKE FOREST,41.3,31,0,35.6,51.7,44.4,80798
100,LOS ALAMITOS,15.9,92.5,203,94.6,200.9,53.8,11789
101,MISSION VIEJO,18.7,35.5,24.4,33.8,35.9,45.8,98217
102,NEWPORT BEACH,35.3,29.8,54.5,96.2,71.5,98.7,87749
103,ORANGE,30.7,48.1,119.2,80.1,117.6,75.2,140572
104,PLACENTIA,48.1,35.1,0,53.6,84.5,51.5,52753
105,RANCHO SANTA MARGARITA,25.5,19.7,0,19.4,8.4,26.2,49719
106,SAN CLEMENTE,30.7,26.5,36.4,53.1,52.3,42.6,65755
107,SAN JUAN CAPISTRANO,50,44.6,0,55,67.1,40.3,36666
108,SANTA ANA,130.5,169.1,85.1,57.8,257.1,69.8,337304
109,SEAL BEACH,34.1,22,0,69.1,67.4,101,24800
110,STANTON,94.1,168.1,0,71.6,218.4,61.5,38921
111,TUSTIN,46.4,50.6,29.2,56.8,87.3,85.9,81953
112,VILLA PARK,0,18.2,0,121.4,15.5,41,6002
113,WESTMINSTER,82.1,138.9,25.8,116.2,162.9,120.1,92640
114,YORBA LINDA,17.1,11.1,0,47.4,23.7,35.3,68698
115,CAMARILLO,46,48.6,71.1,69.1,40.7,65.4,67325
116,FILLMORE,196.7,42.2,154.2,55.3,65.8,27,15519
117,MOORPARK,31.5,21.3,0,46.7,32.4,34.1,35804
118,OJAI,36.8,14.2,0,41.9,12.1,33.5,7665
119,OXNARD,113.8,202.6,138.6,114.1,187.1,120.3,207221
120,PORT HUENEME,50.7,117.6,215.1,105,131.5,66.2,22249
121,SANTA PAULA,104,56.8,77.9,70.5,75.6,43.5,30710
122,SIMI VALLEY,38.3,38.5,18.8,42.9,40.8,47.1,127472
123,THOUSAND OAKS,31.4,19.3,0,38.6,36.4,50,129976
124,VENTURA,83.2,122.8,43.5,116.5,109.7,144.8,110077
